frame,pupil
1,1012
2,1012
3,1012
4,1012
5,1012
6,1012
7,1012
8,1012
9,1012
10,1012
11,1012
12,1012
13,1012
14,1012
15,1012
16,1012
17,1012
18,1012
19,1012
20,1012
21,1012
22,1012
23,1012
24,1012
25,1012
26,1012
27,1012
28,1012
29,1012
30,1012
31,1012
32,1012
33,1012
34,1012
35,1012
36,1012
37,1012
38,1012
39,1012
40,1012
41,1012
42,1012
43,1012
44,1012
45,1012
46,1012
47,1012
48,1012
49,1012
50,1012
51,1012
52,1012
53,1012
54,1012
55,1012
56,1012
57,1012
58,1012
59,1012
60,1012
61,1012
62,1012
63,1012
64,1012
65,1012
66,1012
67,1012
68,1012
69,1012
70,1012
71,1012
72,1012
73,1012
74,1012
75,1012
76,1012
77,1012
78,1012
79,1012
80,1012
81,1012
82,1012
83,1012
84,1012
85,1012
86,1012
87,1012
88,1012
89,1012
90,1012
91,1012
92,1012
93,1012
94,1012
95,1012
96,1012
97,1012
98,1012
99,1012
100,1012
101,1012
102,1012
103,1012
104,1012
105,1012
106,1012
107,1012
108,1012
109,1012
110,1012
111,1012
112,1012
113,1012
114,1012
115,1012
116,1012
117,1012
118,1012
119,1012
120,1012
121,1012
122,1012
123,1012
124,1012
125,1012
126,1012
127,1012
128,1012
129,1012
130,1012
131,1012
132,1012
133,1012
134,1012
135,1012
136,1012
137,1012
138,1012
139,1012
140,1012
141,1012
142,1012
143,1012
144,1012
145,1012
146,1012
147,1012
148,1012
149,1012
150,1012
151,1012
152,1012
153,1012
154,1012
155,1012
156,1012
157,1012
158,1012
159,1012
160,1012
161,1012
162,1012
163,1012
164,1012
165,1012
166,1012
167,1012
168,1012
169,1012
170,1012
171,1012
172,1012
173,1012
174,1012
175,1012
176,1012
177,1012
178,1012
179,1012
180,1012
181,1012
182,1012
183,1012
184,1012
185,1012
186,1012
187,1012
188,1012
189,1012
190,1012
191,1012
192,1012
193,1012
194,1012
195,1012
196,1012
197,1012
198,1012
199,1012
200,1012
201,1012
202,1012
203,1012
204,1012
205,1012
206,1012
207,1012
208,1012
209,1012
210,1012
211,1012
212,1012
213,1012
214,1012
215,1012
216,1012
217,1012
218,1012
219,1012
220,1012
221,1012
222,1012
223,1012
224,1012
225,1012
226,1012
227,1012
228,1012
229,1012
230,1012
231,1012
232,1012
233,1012
234,1012
235,1012
236,1012
237,1012
238,1012
239,1012
240,1012
241,1012
242,1012
243,1012
244,1012
245,1012
246,1012
247,1012
248,1012
249,1012
250,1012
251,1012
252,1012
253,1012
254,1012
255,1012
256,1012
257,1012
258,1012
259,1012
260,1012
261,1012
262,1012
263,1012
264,1012
265,1012
266,1012
267,1012
268,1012
269,1012
270,1012
271,1012
272,1012
273,1012
274,1012
275,1012
276,1012
277,1012
278,1012
279,1012
280,1012
281,1012
282,1012
283,1012
284,1012
285,1012
286,1012
287,1012
288,1012
289,1012
290,1012
291,1012
292,1012
293,1012
294,1012
295,1012
296,1012
297,1012
298,1012
299,1012
300,1012
301,1012
302,1012
303,1012
304,1012
305,1012
306,1012
307,1012
308,1012
309,1012
310,1012
311,1012
312,1012
313,1012
314,1012
315,1012
316,1012
317,1012
318,1012
319,1012
320,1012
321,1012
322,1012
323,1012
324,1012
325,1012
326,1012
327,1012
328,1012
329,1012
330,1012
331,1012
332,1012
333,1012
334,1012
335,1012
336,1012
337,1012
338,1012
339,1012
340,1012
341,1012
342,1012
343,1012
344,1012
345,1012
346,1012
347,1012
348,1012
349,1012
350,1012
351,1012
352,1012
353,1012
354,1012
355,1012
356,1012
357,1012
358,1012
359,1012
360,1012
361,1012
362,1012
363,1012
364,1012
365,1012
366,1012
367,1012
368,1012
369,1012
370,1012
371,1012
372,1012
373,1012
374,1012
375,1012
376,1012
377,1012
378,1012
379,1012
380,1012
381,1012
382,1012
383,1012
384,1012
385,1012
386,1058
387,1058
388,1058
389,1058
390,1058
391,1058
392,1058
393,1058
394,1058
